group,token,weight,grade
flagged_high_grade,issues,0.022199190940109505,6
flagged_high_grade,incredibly,0.01502535148367243,6
flagged_high_grade,college,0.012785138719626783,6
flagged_high_grade,many,0.009373041081808616,6
flagged_high_grade,many,0.006252622162424865,6
flagged_high_grade,make,-0.005244376863821332,6
flagged_high_grade,issue,0.004541730775692963,6
flagged_high_grade,though,-0.003157880577964286,6
flagged_high_grade,free,0.022270148791382272,5
flagged_high_grade,option,0.015126970137707472,5
flagged_high_grade,online,-0.01325468681955664,5
flagged_high_grade,necessary,0.012888925498613204,5
flagged_high_grade,traditional,0.007205951422305354,5
flagged_high_grade,cooped,0.004197606688164477,5
flagged_high_grade,day,-0.004092251753292976,5
flagged_high_grade,use,-0.0007508660039838422,5
flagged_high_grade,benefits,0.05077104957371726,6
flagged_high_grade,environment,0.04576562827079174,6
flagged_high_grade,human,0.0419525696591969,6
flagged_high_grade,development,0.015329285940923523,6
flagged_high_grade,because,0.011362204765935323,6
flagged_high_grade,diminishing,-0.006008235093445622,6
flagged_high_grade,receiving,0.005193858076977377,6
flagged_high_grade,still,0.000640670439319855,6
flagged_high_grade,until,0.01780492659584185,5
flagged_high_grade,danger,0.017578664568492886,5
flagged_high_grade,acknowledge,0.014541852447104518,5
flagged_high_grade,going,0.014047899481095152,5
flagged_high_grade,face,0.011940027814741003,5
flagged_high_grade,comes,-0.01025311246638563,5
flagged_high_grade,available,-0.0027237602406397325,5
flagged_high_grade,crashes,0.0015522059692164377,5
flagged_high_grade,accessibility,0.023460387283543455,5
flagged_high_grade,classes,0.023252758712013356,5
flagged_high_grade,archaism,0.020861013608677842,5
flagged_high_grade,novel,0.017784920648747676,5
flagged_high_grade,sicknesses,-0.01418913218853948,5
flagged_high_grade,passively,0.011325046544174008,5
flagged_high_grade,aforementioned,-0.004668886020629431,5
flagged_high_grade,stress,0.0037571280028710964,5
flagged_high_grade,significantly,0.0032413899155516734,5
flagged_high_grade,own,-0.0032047429547534074,5
flagged_high_grade,something,-0.021421698696327523,5
flagged_high_grade,intriguing,0.019371362212284762,5
flagged_high_grade,idea,0.019168158459449296,5
flagged_high_grade,worksheets,0.01664125883734937,5
flagged_high_grade,especially,0.016562302135787445,5
flagged_high_grade,powerful,0.01416955583344523,5
flagged_high_grade,education,0.013527009303998432,5
flagged_high_grade,learning,0.007665741880900184,5
flagged_high_grade,first,0.006288843870588801,5
flagged_high_grade,completely,-0.001805878385634667,5
flagged_high_grade,limitation,0.025518940638640637,5
flagged_high_grade,schools,0.024080717862361496,5
flagged_high_grade,usually,0.024012307144543762,5
flagged_high_grade,remotely,0.02273435485316474,5
flagged_high_grade,curb,0.01608891260104824,5
flagged_high_grade,measure,-0.00958866999460405,5
flagged_high_grade,recharge,-0.007048837509927869,5
flagged_high_grade,distance,0.005435766544977459,5
flagged_high_grade,crowded,0.0021035175380988134,5
flagged_high_grade,provides,0.02745578979230782,6
flagged_high_grade,within,0.025949080464477463,6
flagged_high_grade,homes,0.020621051638025762,6
flagged_high_grade,unrealistic,0.009130165411353754,6
flagged_high_grade,many,0.008667929884622578,6
flagged_high_grade,extracurricular,0.008337548919007393,6
flagged_high_grade,classes,-0.0049410044357631995,6
flagged_high_grade,different,0.0035270026402826424,6
flagged_high_grade,rather,0.010785566280667729,5
flagged_high_grade,come,0.010459089031422838,5
flagged_high_grade,because,0.010422531266679424,5
flagged_high_grade,vast,0.009779698442582753,5
flagged_high_grade,learners,0.006528015938148879,5
flagged_high_grade,importance,0.005893445262555221,5
flagged_high_grade,type,0.004890672498701414,5
flagged_high_grade,cater,-0.004277342210285286,5
flagged_high_grade,none,-0.0019518654074605647,5
flagged_high_grade,teaching,0.0016323411805777856,5
flagged_high_grade,lie,-0.0003466727901332374,5
flagged_high_grade,specializing,0.01991040921815505,5
flagged_high_grade,building,0.01917183915283069,5
flagged_high_grade,arriving,-0.01053269280269309,5
flagged_high_grade,attending,0.007052414390266793,5
flagged_high_grade,made,0.004102915807130964,5
flagged_high_grade,classes,0.0038667203414566877,5
flagged_high_grade,daily,-0.001686107388227272,5
flagged_high_grade,etc,-0.001092105670292783,5
flagged_high_grade,schools,0.04284609434079051,6
flagged_high_grade,receive,0.03632919076976565,6
flagged_high_grade,health,0.035314291234552805,6
flagged_high_grade,extra,0.022750717359658106,6
flagged_high_grade,prevent,-0.0006948287318277525,6
flagged_high_grade,taking,0.00047608256404705447,6
flagged_high_grade,opportunity,-0.0004116025539110356,6
flagged_high_grade,attention,0.021224373762764457,5
flagged_high_grade,inconvenience,0.020733540953703663,5
flagged_high_grade,advancement,0.01964639717196509,5
flagged_high_grade,onto,0.01665995414360448,5
flagged_high_grade,although,0.016568301958625794,5
flagged_high_grade,special,0.01544795120944271,5
flagged_high_grade,traditional,0.014277252150170497,5
flagged_high_grade,skill,0.012701693622844738,5
flagged_high_grade,pursue,-0.011255953704872243,5
flagged_high_grade,presentations,-0.00617286530032279,5
flagged_high_grade,practice,0.005515698241770364,5
flagged_high_grade,option,0.03395505986252431,5
flagged_high_grade,problematic,0.031489650784273904,5
flagged_high_grade,one,0.031246187128056036,5
flagged_high_grade,setting,0.029377522849820963,5
flagged_high_grade,perfect,0.014044803398451267,5
